Город,Цена в месяц,Оплата ЖКХ,Срок аренды,Условия проживания,Комиссия,Предоплата,Залог,Метро,Холодильник,Стиральная машина,Мебель в комнатах,Мебель на кухне,Телевизор,Интернет,Общая площадь,Жилая площадь,Площадь кухни,Высота потолков,Тип дома,Тип перекрытий,Парковка,Санузел,Вид из окон,Количество лифтов,Год постройки,Подъезды,Ремонт,Отопление,Газоснабжение,Мусоропровод
1,1.5275079533348763,-0.00012609021630315037,1,2,0.35692690737630184,1,-0.017294123696094055,32,1,1,1,1,1,1,0.2245458504724473,-0.20888046227770438,-0.23742085518747957,0.2223787724282758,1,1,1,1,1,1,2010.0,4.0,3,1,2,1
1,0.035835147244579764,-0.00012609021630315037,1,2,0.028080167390640128,1,-0.018665044139444854,36,1,1,1,1,1,1,-0.18550493806272508,0.32553231354829737,-0.8886752350313257,0.4997645562183033,1,2,2,1,1,2,1941.0,6.0,3,1,2,1
1,1.3977972745444156,-0.00012609021630315037,1,2,-1.2873067925520068,1,-0.017413334169428907,37,1,1,1,1,1,1,0.6345966390076196,-0.20888046227770438,-0.23742085518747957,0.08368588053326206,1,2,1,5,4,5,2019.0,4.0,3,3,2,3
1,0.035835147244579764,-0.00012609021630315037,1,1,0.35692690737630184,1,-0.018665044139444854,38,1,1,1,1,1,1,0.9899739890714357,2.0259366002673938,-0.4002344501484411,-0.05500701136175168,3,1,2,1,1,11,2012.0,1.0,3,1,2,1
1,0.035835147244579764,-0.00012609021630315037,1,2,-0.3007665725950216,1,-0.018665044139444854,39,1,1,1,1,1,1,-0.4588721304195067,-0.8404591973447973,1.5535286893830973,-0.05500701136175168,1,1,1,1,4,12,2021.0,3.0,1,1,2,1
1,1.5275079533348763,-0.00012609021630315037,1,2,-1.2873067925520068,1,-0.017294123696094055,30,1,1,1,0,1,1,1.0446474275427922,-0.20888046227770438,-0.23742085518747957,1.4706147994833982,1,2,1,5,1,13,2020.0,4.0,3,3,2,1
1,0.035835147244579764,-0.00012609021630315037,1,1,0.028080167390640128,1,-0.018665044139444854,40,1,1,1,1,1,1,0.06052553505837834,0.5684472116510254,-0.23742085518747957,0.6384574481133164,5,2,2,1,1,2,2012.0,3.0,1,1,2,1
1,0.035835147244579764,-0.00012609021630315037,1,2,-1.2873067925520068,1,-0.018665044139444854,41,1,1,1,1,1,1,0.7712802351860105,-0.20888046227770438,0.5766471196173281,0.2223787724282758,1,1,1,5,1,1,2005.0,3.0,1,1,2,1
1,0.035835147244579764,-0.00012609021630315037,1,1,0.028080167390640128,1,-0.018665044139444854,42,1,1,1,1,1,1,0.0878622542940565,0.6170301912715711,-0.23742085518747957,-0.05500701136175168,2,1,2,1,1,1,1983.0,1.0,1,1,2,1
1,0.035835147244579764,-0.00012609021630315037,1,2,-1.2873067925520068,1,-0.018665044139444854,43,1,1,1,1,1,1,1.0446474275427922,0.13120039506611492,6.275122943250982,0.2223787724282758,1,1,1,1,1,14,2010.0,1.0,3,2,2,1
